School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Sikeston,33.48,13.54,47.02,1,16,1
Webster Groves,25.28,17.94,43.22,4,5,2
John Burroughs,21.27,20.53,41.8,10,2,3
Westminster Christian Academy,15.64,24.22,39.85,22,1,4
Vianney,32.91,6.93,39.83,2,41,5
Central (Springfield),24.45,15.29,39.75,5,11,6
Summit Christian Academy,20.23,18.63,38.86,11,4,7
St. Mary's South Side,29.67,8.25,37.92,3,35,8
Raytown,21.53,15.43,36.96,8,10,9
Parkview,17.97,17.82,35.79,17,6,10
Winnetonka,21.42,13.05,34.47,9,18,11
Rolla,21.54,12.92,34.46,7,19,12
Helias Catholic,17.84,16.11,33.95,19,8,13
Grandview,13.77,19.06,32.83,29,3,14
St. Michael the Archangel,18.09,14.23,32.32,16,13,15
Hazelwood East,21.76,9.13,30.89,6,31,16
Ladue Horton Watkins,19.15,10.87,30.01,12,23,17
Farmington,18.96,10.83,29.79,14,24,18
Pembroke Hill,15.73,13.81,29.54,21,14,19
Jefferson City,18.62,10.1,28.72,15,27,20
Hillcrest,17.95,10.6,28.55,18,25,21
McCluer North,14.75,13.59,28.34,26,15,22
Kearney,11.79,15.52,27.31,31,9,23
Carl Junction,19.12,6.22,25.34,13,43,24
Webb City,15.31,10.0,25.31,24,28,25
Belton,15.93,7.55,23.49,20,37,26
Central (Cape Girardeau),6.17,17.09,23.26,40,7,27
St. Francis Borgia,14.85,8.25,23.1,25,34,28
Willard,14.21,8.3,22.52,28,33,29
Holt,10.65,9.94,20.59,34,29,30
Van Horn,7.1,13.13,20.23,39,17,31
Lincoln College Prep,9.37,9.91,19.27,36,30,32
Parkway North,11.29,7.37,18.66,32,40,33
Lutheran South,13.49,4.95,18.44,30,46,34
Raytown South,3.5,14.37,17.87,46,12,35
Platte County,10.88,6.91,17.79,33,42,36
West Plains,14.27,2.63,16.9,27,50,37
Ruskin,15.54,0.59,16.13,23,55,38
Ft. Zumwalt South,2.29,12.66,14.95,48,20,39
Capital City,5.86,9.01,14.87,41,32,40
Washington,4.13,10.23,14.36,45,26,41
Riverview Gardens,2.61,10.89,13.5,47,22,42
Hillsboro,5.72,7.45,13.17,42,39,43
Poplar Bluff,5.11,7.52,12.63,43,38,44
Windsor (Imperial),9.82,2.44,12.26,35,51,45
Parkway West,-0.56,11.94,11.38,56,21,46
Rockwood Summit,7.27,3.98,11.25,38,47,47
Smithville,7.52,0.71,8.24,37,53,48
Camdenton,4.94,3.17,8.11,44,49,49
Festus,0.09,7.78,7.87,55,36,50
Parkway Central,1.5,5.39,6.89,51,45,51
Warrenton,0.61,6.09,6.7,54,44,52
North Point,2.23,-2.01,0.22,49,60,53
East (Kansas City),-1.09,-1.24,-2.33,57,58,54
Union,0.68,-3.95,-3.27,53,62,55
Marshfield,-5.13,0.59,-4.54,58,54,56
Ft. Zumwalt East,-7.36,1.51,-5.85,61,52,57
Pacific,-9.1,3.18,-5.92,62,48,58
North County,1.97,-8.7,-6.73,50,63,59
McCluer,-7.3,0.5,-6.8,60,56,60
Warrensburg,-6.96,-0.1,-7.06,59,57,61
McDonald County,1.0,-9.28,-8.28,52,64,62
Hannibal,-11.18,-1.33,-12.51,64,59,63
DeSoto,-10.9,-3.05,-13.95,63,61,64
